name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
ELIE SAAB Le Parfum Royal EDP 90ml ,"Indonesian Patchouli Essence, Indian Sandalwood Essence, Amber, Vanilla",Gold,France,Women,Pump,New,"Turkish Rose Absolute, Bulgarian Rose Absolute, Lebanese Neroli",Le Parfum Royal,/uae-en/le-parfum-royal-edp-90ml/N24430947A/p?o=a81f301e74285f0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LALIQUE Le Parfum EDP 100ml ,"Patchouli, Sandalwood, Tonka Beans, Vanilla",,,Women,Splash,,"Heliotrope, Jasmine",,/uae-en/le-parfum-edp-100ml/N11201336A/p?o=aa968a8186d2e5fa,Oriental,Oriental,100 ml,"Bay Leaf, Bergamot, Pink Pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mont Blanc Lady Emblem Eau De Parfum 75ml ,"Raspberry, Musk",Pink/Clear,Germany,Women,Splash,New,"Palisander Rosewood, Patchouli, Sandalwood",Lady Emblem,/uae-en/lady-emblem-eau-de-parfum-75ml/N43861494A/p?o=e023501af5dc98cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seris Parfums Splendor EDP 100ml ,"Tree Moses, Cedar, White Musk and Amberghris",,,Men,Splash,,"Freesia, Lily of The Valley and Magnolia",Seris Parfums,/uae-en/splendor-edp-100ml/N11202261A/p?o=a506ae06be0fe0ee,,,100 ml,"Bergamot, Lemon and Green Notes",Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Holy Florale Parfum 50ml ,"Woody Notes, White Musk, Animal Muck",,,Women,Pump,,"Leafy, Red Fruits, Apricot, Peach",753807552738,/uae-en/holy-florale-parfum-50ml/N37444558A/p?o=c4b3fb286add70df,,Floral,,,,Yes,753807552738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Seta Parfum 50ml ,"Patchouli, Vanilla, Sandal, Peru Balm, Mosses",,,Unisex,Pump,,"Jasmine, Tonka Bean, Clove, Cashmere",753807552752,/uae-en/seta-parfum-50ml/N37444556A/p?o=deca4e199a27923c,,Floral,,,,Yes,753807552752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICALLEF Mon Parfum Cristal EDP 100ml ,"Toffee, Ambergris, Musk",,,Unisex,Splash,,"Bulgarian Rose, Vanilla",,/uae-en/mon-parfum-cristal-edp-100ml/N27531670A/p?o=e0f7fbce7e3751ea,,Vanilla,100 ml,"Cinnamon, Pink Pepper",,,3760060779106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIVE CHRISTIAN Private Collection L Parfum 50ml ,,,,Men,,,,Private Collection,/uae-en/private-collection-l-parfum-50ml/N20179868A/p?o=d2a932adcf5e598d,,Woody,50 ml,,,,,Woody Oriental With Deep Amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILILY Sassy Flora Parfum Collection EDP 25ml ,Patchouli And Brown Sugar,,,Women,Pump,,White Gardenia & Frangipani,,/uae-en/sassy-flora-parfum-collection-edp-25ml/N21748355A/p?o=e5622b70c88d0b7e,,,25 ml,Red Berries & Pear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music de Parfum Pianissimo EDP 50ml ,"Jasmine, Animal notes and Sweet notes",,France,Unisex,,,,,/uae-en/pianissimo-edp-50ml/N11074521A/p?o=c6a3fc88e4aead9c,,Fruity,50 ml,"Lemon, Coconut and Apple",,,010700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Monsieur Eau De Parfum 100ml ,"Musk,Vanila",,United Arab Emirates (UAE),Unisex,,New,"Incense Rum,Cedar,amber",Monsieur,/uae-en/monsieur-eau-de-parfum-100ml/N43338250A/p?o=a76b985ce0ce9c6c,,Spicy,,,,,6253481591527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS Rare Edition Vici EDP 60ml ,"Patchouli Oil, Musk, Vanilla, Cedar and Raspberry",,,Unisex,,,"Rustic Lavender, Céleri Graine, Iris Concrete, Osmanthus Absolu and Essence Incense",,/uae-en/rare-edition-vici-edp-60ml/N11203062A/p?o=aedc2a46fe17366f,,,60 ml,"Angelical Roots, Cardamom, Pink Peppercorns, Basil, Galbanum and Aldehyde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMUSO Cute Animal Parfum Spray-Bunny 3.5 x 2.4 x 9.4cm ,ethylexyl,,,Unisex,,New,aqua,0200013407,/uae-en/cute-animal-parfum-spray-bunny-3-5-x-2-4-x-9-4cm/N42372094A/p?o=c74797b70fa4d7dd,,Floral,3.5 x 2.4 x 9.4 cm,,,,6900213407006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMUSO Cute Animal Parfum Spray-Lion Sea 4.3 x 2.3 x 7.9cm ,ethylexyl,,,Unisex,,New,aqua,1001007902,/uae-en/cute-animal-parfum-spray-lion-sea-4-3-x-2-3-x-7-9cm/N42372093A/p?o=dc00c8c107539c3f,,Aromatic,4.3 x 2.3 x 7.9 cm,,,,6970564805851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAH JESSICA PARKER Stash Eau de Parfum SJP Spray Fragrance 50ml ,,,,Women,,New,,Stash,/uae-en/stash-eau-de-parfum-sjp-spray-fragrance-50ml/N26880287A/p?o=a1e241c4e8ae6add,,,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dior Fahrenheit Le Parfum Spray 75ml ,Bourbon Vanilla,Red,,Men,Pump,New,"Violet Leaf, Coriander, Cumin",Fahrenheit,/uae-en/fahrenheit-le-parfum-spray-75ml/N11075112A/p?o=ce0613d0b2a77cbd,,,,,,,3348901116817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapil Veryl Perfume Eau De Parfum 100ml ,"Sandalwood, amber, musk.",,United Arab Emirates (UAE),Women,,New,"Orange blossom, peony, gardenia, coconut.",VERY116502,/uae-en/veryl-perfume-eau-de-parfum-100ml/N44441438A/p?o=abe38f2cff43005a,,Floral,,,,,VERY116502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIE SAAB Le Parfum EDP 50ml ,"Patchouli, Virginia Cedar, Rose, White Honey",Gold,France,Women,Pump,New,Jasmine,,/uae-en/le-parfum-edp-50ml/N11804325A/p?o=d853f90535d07cdf,,,,,,,98786579357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givenchy Dahlia Divin Le Nectar De Parfum EDP Intense 75ml ,"Vetiver, Sandalwood, Tonka Bean, Lavish Vanilla, Musk",Gold,France,Women,Splash,New,"Jasmine Sambac, Rose",Dahlia Divin Le Nectar,/uae-en/dahlia-divin-le-nectar-de-parfum-edp-intense-75ml/N11200425A/p?o=f1fc3452d3dfae9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARAH JESSICA PARKER Stash Eau de Parfum SJP Spray Fragrance 30ml ,"Massoia Wood, Olibanum, Vetiver and Musk",,,Unisex,,New,"Atlas Cedar, Patchouli, Pistachio and White Ginger Lily",,/uae-en/stash-eau-de-parfum-sjp-spray-fragrance-30ml/N43724374A/p?o=e792d5add84de00e,,Arabian,30 ml,"Black Pepper, Sage and Grapefruit",,,150890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORGIO ARMANI Colonia Mountain Parfum 88ml ,Leather,Pink/Clear/Black,,Unisex,Splash,New,,Colonia Mountain,/uae-en/colonia-mountain-parfum-88ml/N13233788A/p?o=b991307e6b6d6abe,,Oriental,,,,,8434666271122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givenchy Dahlia Divin For Women  Eau de Parfum 75ml ,"Patchouli, Sandalwood, Vetiver, Vanilla, White Musk. Cedar",Gold,,Women,Pump,New,"Jasmine Sambac, Peach, Orange Blossom, Rose, Black Currant, Lily-of-the-Valley, Apple",Dahlia Divin,/uae-en/dahlia-divin-for-women-eau-de-parfum-75ml/N32137364A/p?o=b7402ffc056d37ec,,,,,,,478.30214145.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BVLGARI 2-Piece Goldea The Roman Night Eau De Parfum Set 50ml, 15ml ","Black Musk, Patchouli, Vetiver, Moss",Black/Clear/Gold,,Women,Pump,New,"Night Blooming Jasmine, Peony, Tuberose, Rose",Goldea,/uae-en/2-piece-goldea-the-roman-night-eau-de-parfum-set-50ml-15ml/N26380437A/p?o=c74e8755d7a2837f,,,,,,,783320401138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Rocher Matin Blanc Eau de Parfum 100ml ,Freshness of Bergamot,,France,Women,,,Orange Blossom Absolute,Matin BLANG,/uae-en/matin-blanc-eau-de-parfum-100ml/N36224736A/p?o=c71158e77dad8ffc,,Fresh,100 ml,,,,45339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmal Aretha Parfum 75ml ,"Cedar, Sandalwood, Musk",Orange/Gold,United Arab Emirates (UAE),Women,Pump,New,"Turkish Rose, Magnolia, White Flowers, Jasmine",Aretha,/uae-en/aretha-parfum-75ml/N30545113A/p?o=b8116d4076fdce1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmal Supreme Parfum 7g ,,Gold,,Unisex,Pump,New,,Supreme,/uae-en/supreme-parfum-7g/N40449566A/p?o=b6771bf910f41aaf,,Floral,7 g,,,,N40449566A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Mukhallat Lamia Parfum 6g ,"Ambergis,Woody",,,Unisex,,New,"Musk ,Woody",MukhallatLamia6GM,/uae-en/mukhallat-lamia-parfum-6g/N40449563A/p?o=f1ab1142b6be44da,,Arabian,6 g,,,,MukhallatLamia6GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Mukhallat Asayel Parfum 6g ,"Musk , Floral",,,Unisex,,New,"Musk , Floral",Mukhallat Asayel6GM,/uae-en/mukhallat-asayel-parfum-6g/N40449565A/p?o=d530ac8644ece86b,,Arabian,6 g,,,,Mukhallat Asayel6GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Mukhallat Noora Parfum 10g ,Floral,,,Unisex,,New,Floral,MukhallatNoora10GM,/uae-en/mukhallat-noora-parfum-10g/N40449560A/p?o=ef2fe2fda70a11ce,,Fresh,10 g,,,,MukhallatNoora10GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmal Galaxy Parfum 7g ,"Fruity, Musk",,,Unisex,,New,"Fruity, Musk",AjmalGalaxy7GRAM,/uae-en/galaxy-parfum-7g/N40449569A/p?o=a6c04416da9d018e,,Floral,7 g,,,,AjmalGalaxy7GRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Mukhallat Noora Parfum 6g ,"Floral, Ambergis",,,Unisex,,New,"Floral, Ambergis",MukhallatNoora6GM,/uae-en/mukhallat-noora-parfum-6g/N40449561A/p?o=b531790e8021e72d,,Fresh,6 g,,,,MukhallatNoora6GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parfums Gres Cabotine De Gres EDP 100ml ,"Patchouli, Sandalwood And Musk",,,Women,,,"Ginger, Lily, Tubereuse And Wild Hyacinth",,/uae-en/cabotine-de-gres-edp-100ml/N11201194A/p?o=b32376435059210d,,Floral,100 ml,"Tangerine, Ginger And Ylang Ylang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS 1725 EDP 120ml ,"Vanilla, Almond, Sandalwood, Cedar and Amber",,,Men,,,Lavender and Star Anise,Histoires de Parfums,/uae-en/1725-edp-120ml/N11201689A/p?o=33c7f01cef6ba89b,,,120 ml,"Bergamot, Citrus, Grapefruit and Licorice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oBoticario Malbec Signature Eau de Parfum 90ml ,"Vanilla, Amber, Musk, Vetiver and Privé Accord",,Brazil,Men,Atomizer,,"Patchouli, Cedar and Carnation",62314,/uae-en/malbec-signature-eau-de-parfum-90ml/N38179273A/p?o=e433d215c37984fb,,Woody,,,,,62314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Occitane Mandarin &amp; Immortelle Eau de Parfum 90ml ,Vanilla,,,Women,,New,Immortal,11EP090MI18,/uae-en/mandarin-immortelle-eau-de-parfum-90ml/N43852216A/p?o=d7e1c8d0dc42fede,,Citrus,90 ml,,,,11EP090MI18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oBoticario Lily Eau De Parfum 30ml ,"Sandalwood, Moss, Musk, Vanilla, Patchouli, Vetiver and Amber",,Brazil,Women,Atomizer,,"Osmanthus, Gardenia, Jasmine, Rose, Violet, Lily, Iris and Narcissus",21372,/uae-en/lily-eau-de-parfum-30ml/N38179264A/p?o=ef1f928bf6e1db0d,,Floral,,,,,21372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Endymion Eau De Parfum 100ml ,"cardamon,Musk",,United Arab Emirates (UAE),Unisex,,New,"Coffee,Geranium,leather",Endymion,/uae-en/endymion-eau-de-parfum-100ml/N43338252A/p?o=dfa684fa4d73ce5a,,Oriental,,,,,6253481591572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS 1899 EDP 120ml ,"Vanilla, Vetiver and Amber",,,Men,,,"Orange Blossom, Florentine Iris and Cinnamon",Histoires de Parfums,/uae-en/1899-edp-120ml/N11201690A/p?o=b1e82023a303743b,,,120 ml,"Italian Bergamot, Juniper and Black Pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasasi Romance Eau De Parfum 45mlml ,"Amber, Musk, Powdery Notes, Cedar, Sandalwood",,,Women,Atomizer,,"Rose, Jasmine",,/uae-en/romance-eau-de-parfum-45mlml/N11200968A/p?o=b19ab223d0a6754c,,Floral,45ml ml,"Hyacinth, Galbanum, Ylang-Ylang, Apricot, Raspberry, Peach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Flower Bomb Eau De Parfum 100ml ,"Bergamot,Orange flower",,United Arab Emirates (UAE),Unisex,,New,"Jasmin,Freesia tea",Flower Bomb,/uae-en/flower-bomb-eau-de-parfum-100ml/N43338247A/p?o=b92e0459d85f189c,,Floral,,,,,6253481591497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Occitane Herbae Eau de Parfum 50ml ,"wild grass, captive musk, cashmeran",,,Women,,New,,11EP050H19,/uae-en/herbae-eau-de-parfum-50ml/N43853255A/p?o=f81824c6bcc9905f,,Floral,50 ml,"ambrette seed, vert de bergamot essence, pink peppercorn",,,11EP050H19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS Petroleum Edition Absolu EDP 60ml ,"Oud, Civet Absolute, Leather, Patchouli and White Musk",,,Unisex,,,"Rose, Oud and Amber",Histoires de Parfums,/uae-en/petroleum-edition-absolu-edp-60ml/N11201693A/p?o=d6a8ab42ecbf68b0,,,60 ml,"Oud, Bergamot and Aldehyde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parfums De Marly Athalia EDP 75ml ,"Amber, Vanilla and Vetiver",,,Women,,,"Iris, Suede and Orange Blossom",Parfums De Marly,/uae-en/athalia-edp-75ml/N11201749A/p?o=bdf40ee846850c1e,,,75 ml,Incense and Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,Light Sandal,,,Kids Unisex,,New,Light Sandal,BabyLoveBrown50ML,/uae-en/baby-love-parfum-50ml/N40752567A/p?o=d4c0a62f646a1d8a,,Floral,50 ml,,,,BabyLoveBrown50ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,Light Lavender,,,Kids Unisex,,New,Light Lavender,BabyLovePurple50ML,/uae-en/baby-love-parfum-50ml/N40752566A/p?o=bdcb2bec88f55b7c,,Floral,50 ml,,,,BabyLovePurple50ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation D'Homme Eau De Parfum 100ml ,"Cedar,Vetiver",,United Arab Emirates (UAE),Unisex,,New,"Pear,Virginia",D'Homme,/uae-en/d-homme-eau-de-parfum-100ml/N43338246A/p?o=f049b7f433b8428b,,Fresh,,,,,6253481591626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Provocateur Eau De Parfum 100ml ,Amber,,,Women,,New,Vetiver,,/uae-en/eau-de-parfum-100ml/N40139354A/p?o=c56ad0f463a4849e,,Woody,100 ml,Indian Saffron,,,85715710260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Zafeer Al Oud Eau De Parfum 100ml ,"Ylang-Ylang,Cloves",,United Arab Emirates (UAE),Unisex,,New,"Leather,Tonka Beans",Zafeer Al Oud,/uae-en/zafeer-al-oud-eau-de-parfum-100ml/N43338238A/p?o=d99d651931cf514f,,Oriental,,,,,6253481591565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Bergamot Venician Eau De Parfum 100ml ,"Gardenia,Magnolia",,United Arab Emirates (UAE),Unisex,,New,"Black Pepper,Pink Pepper",Bergamot Venician,/uae-en/bergamot-venician-eau-de-parfum-100ml/N43338244A/p?o=ce3c3e6577ca8b0f,,Woody,,,,,6253481591503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,Lemon,,,Kids Unisex,,New,Lemon,BabyLoveYellow50ML,/uae-en/baby-love-parfum-50ml/N40752564A/p?o=cf1e389bf74b4d9c,,Floral,50 ml,,,,BabyLoveYellow50ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,Floral,,,Kids Unisex,,New,Floral,BabyLoveBlue50ML,/uae-en/baby-love-parfum-50ml/N40752568A/p?o=d7ca764bc8fda64d,,Floral,50 ml,,,,BabyLoveBlue50ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Zaabiah Baby Love Parfum 50ml ,Strawberries,,,Kids Unisex,,New,Strawberries,BabyLoveRed50ML,/uae-en/baby-love-parfum-50ml/N40752565A/p?o=a4b37f4c3ed7c97e,,Floral,50 ml,,,,BabyLoveRed50ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS 1740 Noir Patchouli EDP 120ml ,"Patchouli,Musk,Leather and Vanilla",,,Unisex,,,"Patchouli, Flowers and Berries",Histoires de Parfums,/uae-en/1740-noir-patchouli-edp-120ml/N11201692A/p?o=f43a243cf6e411be,,,120 ml,"Patchouli,Coriander and Cardamom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIVE CHRISTIAN 1872 Original Collection Parfum 50ml ,,,,Women,,,,Original Collection,/uae-en/1872-original-collection-parfum-50ml/N20179860A/p?o=afe4ac44314e99ef,,,50 ml,,Woody,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Occitane Blackcurrant Rhubarb Eau De Parfum 90ml ,,,,Women,,New,,11EP090CR18,/uae-en/blackcurrant-rhubarb-eau-de-parfum-90ml/N43852249A/p?o=ec362a0f28a2256d,,,90 ml,,,,11EP090CR18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTOIRES de PARFUMS Rare Edition Veni EDP 60ml ,"Vanilla, Toffee, Patchouli Oil, Musk, Ambergris and Oakmoss",,,Unisex,,,"Carnation, Saffron and Gaiac Wood",,/uae-en/rare-edition-veni-edp-60ml/N11203061A/p?o=ca40613af01e3d4b,,,60 ml,"Absolu Cardamom, Cinnamom, Galbanum and Lavander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMMA Aro Fac Orchid-14 Eau de Parfum 100 ml ,"Patchouli And Sandalwood,Incense",,United Arab Emirates (UAE),Unisex,,,Orchid And Lotus,AMD110,/uae-en/aro-fac-orchid-14-eau-de-parfum-100-ml/N32123039A/p?o=b4ec151a405a2c6a,,,100 ml,"Bergamot,Black Currant,Ylang Ylang",,,AMD110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
